HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
107,CO- PUEBLO,82.48,7,7,13,81.13,91.53,7 [7 - 13],82.48% [81.13% - 91.53%],05-18-2020
109,CT- BRIDGEPORT,91.1,79,70,98,83.66,106.55,79 [70 - 98],91.1% [83.66% - 106.55%],05-18-2020
110,CT- HARTFORD,89.93,161,145,200,82.58,107.76,161 [145 - 200],89.93% [82.58% - 107.76%],05-18-2020
111,CT- NEW HAVEN,88.73,151,135,198,83.17,105.47,151 [135 - 198],88.73% [83.17% - 105.47%],05-18-2020
112,DE- WILMINGTON,88.17,70,65,84,83.71,98.42,70 [65 - 84],88.17% [83.71% - 98.42%],05-18-2020
113,DC- WASHINGTON,117.68,1036,963,1214,99.22,162.38,1036 [963 - 1214],117.68% [99.22% - 162.38%],05-18-2020
115,FL- BRADENTON,89.65,32,29,40,82.4,104.12,32 [29 - 40],89.65% [82.4% - 104.12%],05-18-2020
116,FL- CLEARWATER,86.23,49,44,60,81.59,95.58,49 [44 - 60],86.23% [81.59% - 95.58%],05-18-2020
118,FL- FORT LAUDERDALE,88.67,365,325,442,82.15,100.94,365 [325 - 442],88.67% [82.15% - 100.94%],05-18-2020
119,FL- FORT MYERS,87.74,145,129,177,81.67,99.21,145 [129 - 177],87.74% [81.67% - 99.21%],05-18-2020
120,FL- GAINESVILLE,85.07,42,37,56,80.54,95.43,42 [37 - 56],85.07% [80.54% - 95.43%],05-18-2020
122,FL- HUDSON,86.11,35,32,45,81.68,96.53,35 [32 - 45],86.11% [81.68% - 96.53%],05-18-2020
123,FL- JACKSONVILLE,85.57,133,118,177,81.08,97.12,133 [118 - 177],85.57% [81.08% - 97.12%],05-18-2020
124,FL- LAKELAND,87.2,35,32,44,81.78,98.63,35 [32 - 44],87.2% [81.78% - 98.63%],05-18-2020
127,FL- MIAMI,88.48,443,394,534,81.99,100.25,443 [394 - 534],88.48% [81.99% - 100.25%],05-18-2020
129,FL- OCALA,87.22,49,44,60,82.05,98.35,49 [44 - 60],87.22% [82.05% - 98.35%],05-18-2020
130,FL- ORLANDO,86.75,350,311,433,81.66,97.43,350 [311 - 433],86.75% [81.66% - 97.43%],05-18-2020
131,FL- ORMOND BEACH,84.63,35,31,44,80.73,91.55,35 [31 - 44],84.63% [80.73% - 91.55%],05-18-2020
133,FL- PANAMA CITY,82.93,7,7,10,81.36,88.28,7 [7 - 10],82.93% [81.36% - 88.28%],05-18-2020
134,FL- PENSACOLA,86.04,70,63,85,81.23,94.26,70 [63 - 85],86.04% [81.23% - 94.26%],05-18-2020
137,FL- SARASOTA,86.2,42,38,52,81.38,95.85,42 [38 - 52],86.2% [81.38% - 95.85%],05-18-2020
139,FL- ST PETERSBURG,85.19,35,32,45,81.31,92.95,35 [32 - 45],85.19% [81.31% - 92.95%],05-18-2020
140,FL- TALLAHASSEE,84.25,56,49,84,80.59,98.54,56 [49 - 84],84.25% [80.59% - 98.54%],05-18-2020
