HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
145,GA- AUGUSTA,82.89,68,63,74,81.63,84.32,68 [63 - 74],82.89% [81.63% - 84.32%],70,40,106,06-30-2020
146,GA- COLUMBUS,84.52,53,51,55,82.94,85.64,53 [51 - 55],84.52% [82.94% - 85.64%],56,37,71,06-30-2020
147,GA- MACON,84.08,87,81,94,82.19,86.08,87 [81 - 94],84.08% [82.19% - 86.08%],91,49,136,06-30-2020
148,GA- ROME,84.55,31,29,33,82.6,86.42,31 [29 - 33],84.55% [82.6% - 86.42%],33,19,47,06-30-2020
149,GA- SAVANNAH,85.58,112,105,119,82.92,87.77,112 [105 - 119],85.58% [82.92% - 87.77%],114,60,160,06-30-2020
151,ID- BOISE,85.56,111,100,118,81.88,87.66,111 [100 - 118],85.56% [81.88% - 87.66%],115,39,159,06-30-2020
152,ID- IDAHO FALLS,86.79,28,26,30,81.95,88.89,28 [26 - 30],86.79% [81.95% - 88.89%],31,9,41,06-30-2020
154,IL- AURORA,86.22,28,28,30,83.98,88.35,28 [28 - 30],86.22% [83.98% - 88.35%],32,21,44,06-30-2020
155,IL- BLUE ISLAND,82.86,69,65,73,81.89,83.79,69 [65 - 73],82.86% [81.89% - 83.79%],72,48,96,06-30-2020
156,IL- CHICAGO,82.83,239,227,251,81.87,83.77,239 [227 - 251],82.83% [81.87% - 83.77%],242,160,323,06-30-2020
158,IL- ELGIN,86.73,70,66,74,84.33,88.93,70 [66 - 74],86.73% [84.33% - 88.93%],73,47,97,06-30-2020
161,IL- EVANSTON,84.01,93,89,98,82.65,85.3,93 [89 - 98],84.01% [82.65% - 85.3%],96,64,128,06-30-2020
163,IL- HINSDALE,84.27,44,42,47,82.73,85.64,44 [42 - 47],84.27% [82.73% - 85.64%],46,30,62,06-30-2020
164,IL- JOLIET,85.17,66,63,70,83.32,86.94,66 [63 - 70],85.17% [83.32% - 86.94%],68,44,92,06-30-2020
